Clase,Cuenta (Valores en miles),12/31/2015,12/31/2014,12/31/2013,12/31/2012
Liquidity Ratios,Current Ratio,124%,120%,128%,113%
Liquidity Ratios,Quick Ratio,120%,114%,122%,108%
Liquidity Ratios,Cash Ratio,24%,21%,28%,26%
Profitability Ratios,Gross Margin,50%,50%,49%,49%
Profitability Ratios,Operating Margin,19%,20%,21%,22%
Profitability Ratios,Pre-Tax Margin,20%,22%,21%,22%
Profitability Ratios,Profit Margin,16%,13%,17%,16%
Profitability Ratios,Pre-Tax ROE,112%,168%,89%,120%
Profitability Ratios,After Tax ROE,92%,101%,72%,88%
